Time,Number of players,Total bets,Multiplier
12:47,1111,111111.11,1.55
12:47,1111,111111.11,1.93
12:46,1111,111111.11,41.73
12:45,1111,111111.11,1.00
12:45,1111,111111.11,1.04
12:45,1111,111111.11,5.32
12:44,1111,111111.11,7.43
12:43,1111,111111.11,1.31
12:43,1111,111111.11,1.53
12:43,1111,111111.11,1.57
12:42,1111,111111.11,1.73
12:42,1111,111111.11,75.33
12:40,1111,111111.11,2.00
12:40,1111,111111.11,3.26
12:39,1111,111111.11,1.00
12:39,1111,111111.11,2.26
12:38,1111,111111.11,5.15
12:38,1111,111111.11,1.59
12:37,1111,111111.11,10.99
12:36,1111,111111.11,3.92
12:36,1111,111111.11,1.37
12:36,1111,111111.11,3.49
12:35,1111,111111.11,1.49
12:35,1111,111111.11,1.27
12:34,1111,111111.11,2.42
12:34,1111,111111.11,1.29
12:33,1111,111111.11,4.17
12:33,1111,111111.11,1.26
12:32,1111,111111.11,2.37
12:32,1111,111111.11,1.29
12:31,1111,111111.11,1.25
12:31,1111,111111.11,1.13
12:30,1111,111111.11,1.58
12:30,1111,111111.11,1.94
12:29,1111,111111.11,9.19
12:29,1111,111111.11,1.23
12:28,1111,111111.11,1.89
12:28,1111,111111.11,13.68
12:27,1111,111111.11,2.13
12:26,1111,111111.11,4.09
12:26,1111,111111.11,4.09
12:25,1111,111111.11,1.42
12:25,1111,111111.11,3.35
12:24,1111,111111.11,1.00
12:24,1111,111111.11,1.88
12:24,1111,111111.11,13.82
12:23,1111,111111.11,1.43
12:22,1111,111111.11,1.68
12:22,1111,111111.11,4.93
12:21,1111,111111.11,1.83
12:21,1111,111111.11,10.79
12:20,1111,111111.11,2.74
12:20,1111,111111.11,12.68
12:19,1111,111111.11,1.85
12:19,1111,111111.11,4.56
12:18,1111,111111.11,5.90
12:17,1111,111111.11,1.35
12:17,1111,111111.11,9.87
12:16,1111,111111.11,6.99
12:16,1111,111111.11,1.80
12:15,1111,111111.11,1.25
12:15,1111,111111.11,3.73
12:14,1111,111111.11,1.01
12:14,1111,111111.11,1.00
12:14,1111,111111.11,3.06
12:13,1111,111111.11,6.63
12:13,1111,111111.11,1.60
12:12,1111,111111.11,21.42
12:11,1111,111111.11,1.11
12:11,1111,111111.11,1.28
12:10,1111,111111.11,2.44
12:10,1111,111111.11,1.26
12:10,1111,111111.11,1.65
12:09,1111,111111.11,1.62
12:09,1111,111111.11,1.99
12:08,1111,111111.11,1.70
12:08,1111,111111.11,2.55
12:07,1111,111111.11,2.30
12:07,1111,111111.11,9.07
12:06,1111,111111.11,4.90
12:05,1111,111111.11,1.52
12:05,1111,111111.11,1.66
12:04,1111,111111.11,5.40
12:04,1111,111111.11,1.35
12:03,1111,111111.11,1.00
12:03,1111,111111.11,2.15
12:03,1111,111111.11,1.05
12:02,1111,111111.11,1.27
12:02,1111,111111.11,1.15
12:02,1111,111111.11,1.50
12:01,1111,111111.11,2.80
12:01,1111,111111.11,2.44
12:00,1111,111111.11,3.36
12:00,1111,111111.11,3.60
11:59,1111,111111.11,2.55
11:59,1111,111111.11,1.63
11:58,1111,111111.11,1.63
11:58,1111,111111.11,1.85
11:57,1111,111111.11,20.13
11:56,1111,111111.11,1.79
11:56,1111,111111.11,1.86
11:56,1111,111111.11,1.35
